Id,Name,TypeId,Provider Id,Description
7,Mobile Finance Manager,6,5828,"Mobile Finance Manager (MFM) integrates three key mobile banking technologies — app, WAP, and SMS — with mobile hardware innovations to grant dynamic anytime/anywhere access to feature-rich mobile banking. MFM applications provide a rich mobile banking experience on all major devices including iOS, Android, BlackBerry, Kindle Fire, Windows, Palm, and Java. App functionality includes bill pay, mobile deposit capture, secure messages, and multiple transfer flavors. WAP banking provides important banking features through any browser-enabled smartphone. The WAP is smart enough to identify the browser and respond accordingly with options appropriate to the mobile browser. SMS text message-based banking is available to all MFM users, but is especially convenient for users with older mobile devices that might not support apps or WAP. In addition to standard banking functions, SMS includes banking alerts that can notify users of issues without needing to log in to an app or online banking."
13,DNA,3,241,Fiserv chose not to participate in this guide and as such we are not able to provide a description of DNA.
29,Worldwide Interactive Services,18,3432,
30,Worldwide Interactive Services,9,3432,
31,Worldwide Interactive Services,24,3432,
32,Acumen,3,241,Fiserv chose not to participate in this guide and as such we are not able to provide a description of DNA.
33,Advantage,3,241,Fiserv chose not to participate in this guide and as such we are not able to provide a description of DNA.
34,Charlotte,3,241,Fiserv chose not to participate in this guide and as such we are not able to provide a description of DNA.
35,Cleartouch,3,241,Fiserv chose not to participate in this guide and as such we are not able to provide a description of DNA.
36,CUBE,3,241,Fiserv chose not to participate in this guide and as such we are not able to provide a description of DNA.
37,CubicsPlus,3,241,Fiserv chose not to participate in this guide and as such we are not able to provide a description of DNA.
38,CUnify,3,241,Fiserv chose not to participate in this guide and as such we are not able to provide a description of DNA.
39,CUSA,3,241,Fiserv chose not to participate in this guide and as such we are not able to provide a description of DNA.
40,DataSafe,3,241,Fiserv chose not to participate in this guide and as such we are not able to provide a description of DNA.
41,Galaxy,3,241,Fiserv chose not to participate in this guide and as such we are not able to provide a description of DNA.
42,OnCU,3,241,Fiserv chose not to participate in this guide and as such we are not able to provide a description of DNA.
43,Portico,3,241,Fiserv chose not to participate in this guide and as such we are not able to provide a description of DNA.
44,Precision®,3,241,"Precision® from Fiserv is an integrated, end-to-end bank platform that helps optimize business processes, grow revenue and drive efficiency. Precision supports new account and transaction processing, document management and imaging, online banking, business intelligence and risk management. It can be deployed in-house or as an outsourced solution.    The most successful financial institutions stay one step ahead of market demands, anticipating customers’ needs before they do. Precision supports many progressive and profitable banks, thrifts and credit unions with a sophisticated, reliable and flexible bank platform, impeccable vendor support and scalable banking solutions that keep up with growth spurts.    What if your business strategy changes? Whether that means switching to offsite processing or integrating a new third-party application, you want a platform that supports change without big costs. Fiserv can help."
45,Premier,3,241,Fiserv chose not to participate in this guide and as such we are not able to provide a description of DNA.
46,Reliance,3,241,Fiserv chose not to participate in this guide and as such we are not able to provide a description of DNA.
47,Signature,3,241,Fiserv chose not to participate in this guide and as such we are not able to provide a description of DNA.
48,Spectrum,3,241,Fiserv chose not to participate in this guide and as such we are not able to provide a description of DNA.
49,XP2,3,241,Fiserv chose not to participate in this guide and as such we are not able to provide a description of DNA.
50,Corillian Online®,9,241,Fiserv chose not to participate in this guide and as such we are not able to provide a description of DNA.
51,Advantage,9,241,Fiserv chose not to participate in this guide and as such we are not able to provide a description of DNA.
52,Charlotte,9,241,Fiserv chose not to participate in this guide and as such we are not able to provide a description of DNA.
53,CUBE,9,241,Fiserv chose not to participate in this guide and as such we are not able to provide a description of DNA.
54,Cube OL,9,241,Fiserv chose not to participate in this guide and as such we are not able to provide a description of DNA.
55,CubicsPlus,9,241,Fiserv chose not to participate in this guide and as such we are not able to provide a description of DNA.
56,CUnify Web,9,241,Fiserv chose not to participate in this guide and as such we are not able to provide a description of DNA.
57,CUOL,9,241,Fiserv chose not to participate in this guide and as such we are not able to provide a description of DNA.
58,CUSA,9,241,Fiserv chose not to participate in this guide and as such we are not able to provide a description of DNA.
59,CUSA-CUSO,9,241,Fiserv chose not to participate in this guide and as such we are not able to provide a description of DNA.
61,DNA,9,241,Fiserv chose not to participate in this guide and as such we are not able to provide a description of DNA.
62,Galaxy,9,241,Fiserv chose not to participate in this guide and as such we are not able to provide a description of DNA.
63,OnCU,9,241,Fiserv chose not to participate in this guide and as such we are not able to provide a description of DNA.
64,Portico,9,241,Fiserv chose not to participate in this guide and as such we are not able to provide a description of DNA.
65,Reliance,9,241,Fiserv chose not to participate in this guide and as such we are not able to provide a description of DNA.
66,Spectrum,9,241,Fiserv chose not to participate in this guide and as such we are not able to provide a description of DNA.
67,Spectrum eMember Suite,9,241,Fiserv chose not to participate in this guide and as such we are not able to provide a description of DNA.
68,Virtual Branch®,9,241,Fiserv chose not to participate in this guide and as such we are not able to provide a description of DNA.
69,Virtuoso™,9,241,Fiserv chose not to participate in this guide and as such we are not able to provide a description of DNA.
70,Mobiliti (Client Branded),6,241,"MobilitiTM from Fiserv is an out-of-the box mobile banking and payments solution that enables credit unions to deploy an affordable mobile solution while retaining speed-to-market advantages. It gives credit unions the flexibility to grow mobile offerings as requirements arise and the market changes. Mobiliti is a powerful suite with standard features including balances, transfers, bill presentment and payments, alerts, remote deposit capture, customer care tools, service reporting and analytics, and more. Mobiliti offers two versions of its native app: a client-branded app that provides unique brand identity and a generic, shared app called Touchbanking."
71,Mobiliti (TouchBanking),6,241,"MobilitiTM from Fiserv is an out-of-the box mobile banking and payments solution that enables credit unions to deploy an affordable mobile solution while retaining speed-to-market advantages. It gives credit unions the flexibility to grow mobile offerings as requirements arise and the market changes. Mobiliti is a powerful suite with standard features including balances, transfers, bill presentment and payments, alerts, remote deposit capture, customer care tools, service reporting and analytics, and more. Mobiliti offers two versions of its native app: a client-branded app that provides unique brand identity and a generic, shared app called Touchbanking."
72,Encompass,3,4849,"AMI Information Systems Encompass Software System for Credit Unions provides an In-House or Hosted core processing solution that is cost effective, reliable and backed by the best service in the industry.  Delivered as a browser-based solution, Encompass is very easy to operate and learn.  The open architecture of the Encompass Software allows for effortless navigation and is extremely scalable for growth.  With over 30 years in the Credit Union software business, AMI always remains on the cutting edge of technology."
73,AMIS,3,6051,"AMIS is a data processing firm that has solely dealt with credit unions for over 30 years. As part of Mid-Atlantic Corporate FCU’s CUSO (MYCU Services, LLC), we strive to give credit union’s the software and support they deserve.   AMIS provides both in-house systems and service bureau processing. Our product line includes the core processing, home banking, electronic bill payment, e-statements, mobile banking and real-time debit card interfaces. The integrated General Ledger includes subsidiary ledgers for fixed assets, prepaids and investments. The 5300 Call Report import facility makes this quarterly task less time consuming."
74,Apex Data Systems,3,6222,"Apex provides complete in-house solutions to small and mid-sized Credit Unions.   With a ‘Pay-As-You-Grow’ philosophy, clients can implement cost-effective solutions to meet growing member demands for such services as checking, ACH, laser loan forms, ATM/Debit real-time or offline, website hosting, internet banking, e-statements, mobile banking w/remote deposit and real-time shared branch connection.  In addition to the core processing system, Apex offers products and services customized to the individual client.  Credit Unions are our only business.  Apex clients deserve and receive consistent, responsive and quality support from a staff of experienced professionals."
75,Sharetec,3,124,"The Sharetec System is one of the most widely installed data processing systems nationwide.  For over 20 years, Sharetec has helped credit unions leverage its powerful core to increase efficiency for the staff and services for members.  Sharetec customers share amazing stories how the system provides an advanced user interface across the entire platform while helping them reduce costs with tools such as Auto-Enrollment and a full suite of eService products.  Others have shared how solutions like Cross-Selling, Tiered Courtesy Pay and Online Member Services have allowed credit unions to grow their loan portfolio 25% or increase non-interest income 15%."
