Id,ProductId,Url Identficator 1,Url Identficator 2,Url Identficator 3,Url Identficator 4,Url Identficator 5,Html Identficator 1,Html Identficator 2,Html Identficator 3,Html Identficator 4,Html Identficator 5
1,7,play.google.com/store/apps/details?id=com.softek.ofxclmobile.,,,,,id=com.softek.ofxclmobile,"NEAR((""softek"",""ofxclmobile""),2)",play.google.com/store/apps/details?id=com.softek.ofxclmobile.,,
2,30,www.w-w-i-s.com/hb,www.w-w-i-s.com/50/Default.aspx,,,,,,,,
3,50,auth/Enrollment,Terms?returnUrl=%2Fauth%2FEnrollment,auth/SignIn?wa=wsignin1.0&wtrealm,/Enrollment/EnrollmentLanding.aspx,fiservapps.com,CorillianStyles,corillian.common.css,Corillian,Corillian.AppsUI.,www.corillian.com/
4,56,Centryx/servlet/com.sos.webteller.accountaccess.LoginFrame,Centryx/servlet/com.sos.webteller.accountaccess.ForgotLogin,Centryx/servlet/com.sos.webteller.onlineforms.WebTellApp,Centryx/servlet/com.sos.webteller.accountaccess.DoLogin,,/scripts/LoginFrame.css,Centryx/servlet/com.sos.webteller.accountaccess,Centryx/servlet/com.sos.webteller.onlineforms,Centryx/servlet/com.sos.webteller.WebTellLogin,
5,61,EnrollOnline/EnrollChoice.aspx,SignOn/Logon,,,,,,,,
6,62,www.netbranch.app.fiserv.com,cunetbranch,,,,,,,,
7,68,www.ea.financial-net.com,www.financial-net.com,.virtualbranchservices.com,www.netit.financial-net.com,,www.netit.financial-net.com,,,,
8,71,play.google.com/store/apps/details?id=com.fiserv.touchbankingasp,,,,,"NEAR((""fiserv"",""touchbankingasp""),3)",,play.google.com/store/apps/details?id=com.fiserv.touchbankingasp,,
9,136,"hlm/ORCC. AND "".HomeBanking""",onlinebank.com/Home.aspx,onlinebank.com/RegistrationDisclosure.aspx,onlinebank.com/ForgotPassword.aspx,window.orccLogManager.url,App_Themes/ArchitectTheme/stylesheets/screen.css,App_Themes/Theme4/stylesheets/screen.css,"App_Themes AND ""EditMode.css""",IDS.Web.Resources.Scripts.orcc.jquery,/Banking/hlm/
10,137,"Formv50 AND ""hblogins""",Formv50,/hbloginv50/LoginFormv50.asp,"NEAR((""hbloginv50"",""Loginv50.asp""),2)",,"/CommonFiles/HBLogins/ AND ""SimpleFirstTimeLoginFormv50.asp""",,,,
